fromId,toId,toName,relationLang,from2Id,to2Id,to2Name,relation2Lang
top_regional_north_america_united_states_travel_and_tourism_travel_services,top_world_deutsch_regional_amerika_vereinigte_staaten_reise_und_tourismus_reiseveranstalter,reiseveranstalter,German,top_world_deutsch_regional_amerika_vereinigte_staaten_reise_und_tourismus_reiseveranstalter,german,german,German
top_regional_north_america_united_states_travel_and_tourism_travel_services_travel_agents,top_world_bosanski_regionalno_sjeverna_amerika_sjedinjene_američke_države_putovanje_i_turizam_putničke_usluge_putničke_agencije,putničke agencije,Bosnian,top_world_bosanski_regionalno_sjeverna_amerika_sjedinjene_američke_države_putovanje_i_turizam_putničke_usluge_putničke_agencije,bosnian,bosnian,Bosnian
top_regional_north_america_united_states_utah,top_world_español_regional_américa_estados_unidos_estados_utah,utah,Spanish,top_world_español_regional_américa_estados_unidos_estados_utah,spanish,spanish,Spanish
top_regional_north_america_united_states_utah,top_world_italiano_regionale_america_del_nord_stati_uniti_utah,utah,Italian,top_world_italiano_regionale_america_del_nord_stati_uniti_utah,italian,italian,Italian
top_regional_north_america_united_states_utah,top_world_deutsch_regional_amerika_vereinigte_staaten_utah,utah,German,top_world_deutsch_regional_amerika_vereinigte_staaten_utah,german,german,German
top_regional_north_america_united_states_utah,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ユタ州,ユタ州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ユタ州,japanese,japanese,Japanese
top_regional_north_america_united_states_utah,top_world_français_régional_amérique_etats-unis_utah,utah,French,top_world_français_régional_amérique_etats-unis_utah,french,french,French
top_regional_north_america_united_states_vermont,top_world_español_regional_américa_estados_unidos_estados_vermont,vermont,Spanish,top_world_español_regional_américa_estados_unidos_estados_vermont,spanish,spanish,Spanish
top_regional_north_america_united_states_vermont,top_world_japanese_地域_北アメリカ_アメリカ合衆国_バーモント州,バーモント州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_バーモント州,japanese,japanese,Japanese
top_regional_north_america_united_states_vermont,top_world_français_régional_amérique_etats-unis_vermont,vermont,French,top_world_français_régional_amérique_etats-unis_vermont,french,french,French
top_regional_north_america_united_states_virginia,top_world_español_regional_américa_estados_unidos_estados_virginia,virginia,Spanish,top_world_español_regional_américa_estados_unidos_estados_virginia,spanish,spanish,Spanish
top_regional_north_america_united_states_virginia,top_world_russian_страны_и_регионы_северная_америка_соединенные_штаты_америки_вирджиния,вирджиния,Russian,top_world_russian_страны_и_регионы_северная_америка_соединенные_штаты_америки_вирджиния,russian,russian,Russian
top_regional_north_america_united_states_virginia,top_world_deutsch_regional_amerika_vereinigte_staaten_virginia,virginia,German,top_world_deutsch_regional_amerika_vereinigte_staaten_virginia,german,german,German
top_regional_north_america_united_states_virginia,top_world_japanese_地域_北アメリカ_アメリカ合衆国_バージニア州,バージニア州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_バージニア州,japanese,japanese,Japanese
top_regional_north_america_united_states_virginia,top_world_français_régional_amérique_etats-unis_virginie,virginie,French,top_world_français_régional_amérique_etats-unis_virginie,french,french,French
top_regional_north_america_united_states_washington,top_world_español_regional_américa_estados_unidos_estados_washington,washington,Spanish,top_world_español_regional_américa_estados_unidos_estados_washington,spanish,spanish,Spanish
top_regional_north_america_united_states_washington,top_world_esperanto_regionoj_ameriko_usono_vaŝingtonio,vaŝingtonio,Esperanto,top_world_esperanto_regionoj_ameriko_usono_vaŝingtonio,esperanto,esperanto,Esperanto
top_regional_north_america_united_states_washington,top_world_russian_страны_и_регионы_северная_америка_соединенные_штаты_америки_вашингтон,вашингтон,Russian,top_world_russian_страны_и_регионы_северная_америка_соединенные_штаты_америки_вашингтон,russian,russian,Russian
top_regional_north_america_united_states_washington,top_world_deutsch_regional_amerika_vereinigte_staaten_washington,washington,German,top_world_deutsch_regional_amerika_vereinigte_staaten_washington,german,german,German
top_regional_north_america_united_states_washington,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ワシントン州,ワシントン州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ワシントン州,japanese,japanese,Japanese
top_regional_north_america_united_states_washington,top_world_polski_regionalne_ameryka_północna_stany_zjednoczone_waszyngton,waszyngton,Polish,top_world_polski_regionalne_ameryka_północna_stany_zjednoczone_waszyngton,polish,polish,Polish
top_regional_north_america_united_states_washington,top_world_français_régional_amérique_etats-unis_washington,washington,French,top_world_français_régional_amérique_etats-unis_washington,french,french,French
"top_regional_north_america_united_states_washington,_dc",top_world_español_regional_américa_estados_unidos_estados_distrito_de_columbia,distrito de columbia,Spanish,top_world_español_regional_américa_estados_unidos_estados_distrito_de_columbia,spanish,spanish,Spanish
"top_regional_north_america_united_states_washington,_dc","top_world_russian_страны_и_регионы_северная_америка_соединенные_штаты_америки_вашингтон,_округ_колумбия","вашингтон, округ колумбия",Russian,"top_world_russian_страны_и_регионы_северная_америка_соединенные_штаты_америки_вашингтон,_округ_колумбия",russian,russian,Russian
"top_regional_north_america_united_states_washington,_dc","top_world_deutsch_regional_amerika_vereinigte_staaten_washington,_dc","washington, dc",German,"top_world_deutsch_regional_amerika_vereinigte_staaten_washington,_dc",german,german,German
"top_regional_north_america_united_states_washington,_dc",top_world_japanese_地域_北アメリカ_アメリカ合衆国_ワシントンd.c.,ワシントンd.c.,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ワシントンd.c.,japanese,japanese,Japanese
"top_regional_north_america_united_states_washington,_dc",top_world_français_régional_amérique_etats-unis_washington_district_de_columbia,washington district de columbia,French,top_world_français_régional_amérique_etats-unis_washington_district_de_columbia,french,french,French
"top_regional_north_america_united_states_washington,_dc",top_world_chinese_simplified_地区_北美洲_美国_华盛顿,华盛顿,Chinese Simplified,top_world_chinese_simplified_地区_北美洲_美国_华盛顿,chinese simplified,chinese simplified,Chinese Simplified
